facility_id,facility_type,name,address,district,lon,lat,rooms,star_rating,capacity_0.6,capacity_0.7,capacity_0.8
HOTEL_42,酒店,成都太古里春熙路步行街城际酒店,春熙路东段1号,成都市,104.077059,30.654579,210,4,252.0,294.0,336.0
HOTEL_43,酒店,成都太古里河畔亚朵酒店,望平滨河路8号,成都市,104.08983,30.654614,190,4,228.0,266.0,304.0
HOTEL_44,酒店,成都春熙太古里正熙酒店,红星路三段16号,成都市,104.078531,30.653506,145,4,174.0,203.0,232.0
HOTEL_45,酒店,成都蓝海御华饭店(金融城环球中心店),名都路166号,成都市,104.071649,30.577606,473,4,567.6,662.1999999999999,756.8000000000001
HOTEL_46,酒店,隐栖堂精品酒店(成都春熙路新南门地铁站店),南台路8号,成都市,104.074054,30.642922,95,4,114.0,133.0,152.0
HOTEL_47,酒店,成都文殊院索菲斯锦苑宾馆,人民中路三段22号,成都市,104.071223,30.67709,301,5,361.2,421.4,481.6
HOTEL_48,酒店,成都宽窄巷子奎星楼街月牙至臻酒店,马家花园路3号,成都市,104.054211,30.679408,77,4,92.39999999999999,107.8,123.2
HOTEL_49,酒店,蓉逸精品酒店(成都西站青羊万达店),日月大道一段978号青羊万达广场3栋1单元,成都市,103.972473,30.676994,90,3,108.0,125.99999999999999,144.0
HOTEL_50,酒店,宜尚酒店(成都春熙路IFS中心店),太升南路43号,成都市,104.075105,30.660697,126,3,151.2,176.39999999999998,201.60000000000002
HOTEL_51,酒店,成都微澜温泉花园酒店(宽窄巷子西大街地铁站店),宁夏街204号新城市广场B座8楼,成都市,104.058374,30.673907,54,4,64.8,75.6,86.4
HOTEL_52,酒店,成都宽窄巷子希尔顿欢朋酒店,马家花园路11号,成都市,104.052865,30.68144,205,4,246.0,287.0,328.0
HOTEL_53,酒店,悦蓝里S酒店(成都宽窄巷子抚琴地铁站店),西安路街道永陵路18号附8号,成都市,104.045664,30.674303,120,4,144.0,168.0,192.0
HOTEL_54,酒店,鹿喜·安泊酒店(双流机场奥特莱斯店),龙桥路153号,成都市,103.948473,30.596362,108,4,129.6,151.2,172.8
HOTEL_55,酒店,答案｜Answer设计师高空观景酒店(成都东站凯德广场店),万科路19号1幢附50号,成都市,104.155534,30.626227,88,4,105.6,123.19999999999999,140.8
HOTEL_56,酒店,盛铂·清居国风酒店(春熙店),梓潼街37号,成都市,104.075379,30.666705,91,4,109.2,127.39999999999999,145.6
HOTEL_57,酒店,中建·锦江都城酒店(成都春熙路太古里店),滨江中路9号的万达瑞华中心,成都市,104.069568,30.647186,207,4,248.39999999999998,289.79999999999995,331.20000000000005
HOTEL_58,酒店,铂领荟酒店(成都熊猫基地成都医学院店),天回路170号,成都市,104.114973,30.742201,236,4,283.2,330.4,377.6
HOTEL_59,酒店,艾干酒店(成都西南财大地铁站店),清江中路1号2栋1单元1楼2-1-19,成都市,104.019446,30.669322,85,3,102.0,118.99999999999999,136.0
HOTEL_60,酒店,云岸318酒店(成都宽窄巷子文殊院地铁站店),新华大道通锦桥路65号,成都市,104.059913,30.676613,52,3,62.4,72.8,83.2
HOTEL_61,酒店,笨酒店(成都太古里春熙路店),望平街滨河路6号,成都市,104.089545,30.654182,110,4,132.0,154.0,176.0
HOTEL_62,酒店,如家酒店·neo(成都春熙路太古里书院街店),书院西街75号,成都市,104.084799,30.658398,110,2,132.0,154.0,176.0
