facility_id,facility_type,facility_category,facility_subtype,name,address,district,lon,lat,total_area_m2
SCHOOL_391,学校,学校,大学/高等院校,西南财经大学(光华校区)西区-教学楼,四川成都市青羊区清江中路676号西南财大光华校区西区1栋,青羊区,104.007578,30.673322,2597.6744053171
SCHOOL_394,学校,学校,大学/高等院校,成都市职工大学(二环路西二段),四川省成都市青羊区二环路西二段77号,青羊区,104.01835,30.674519,2166.88244304435
SCHOOL_395,学校,学校,大学/高等院校,西南财经大学-光华楼,四川成都市青羊区光华村街55号,青羊区,104.014302,30.671159,15829.086939153
SCHOOL_397,学校,学校,小学,成都高新区庆安小学,四川省成都市武侯区新雅街6号,武侯区,104.029185,30.60657,9253.59505077882
SCHOOL_400,学校,学校,小学,成都市华兴小学,四川省成都市武侯区华泰五路193号,武侯区,104.022056,30.617826,14098.1630639999
SCHOOL_401,学校,学校,大学/高等院校,中国科学院成都生物研究所(科园南路),四川省成都市武侯区科园南路93号,武侯区,104.027067,30.618803,12625.6353809566
SCHOOL_402,学校,学校,大学/高等院校,中国科学院成都科学仪器研制中心,四川省成都市武侯区科园南一路7号,武侯区,104.029079,30.611323,23644.2615584526
SCHOOL_404,学校,学校,中学,成都高新实验中学(新北校区),四川省成都市武侯区新义路146号,武侯区,104.036043,30.606312,32128.857244576
SCHOOL_405,学校,学校,小学,新光小学,四川省成都市武侯区新乐南街68号,武侯区,104.037132,30.60683,15718.3829231641
SCHOOL_406,学校,学校,其他学校,成都沃顿公学,四川省成都市武侯区新尚路45号,武侯区,104.032826,30.600151,7431.64920434421
SCHOOL_407,学校,学校,其他学校,四川省重竞技学校,四川省成都市武侯区太平寺路4号,武侯区,104.029684,30.602527,5494.1081135246
SCHOOL_410,学校,学校,其他学校,金苹果公学,四川省成都市武侯区创瑞街9号,武侯区,104.038748,30.618001,7809.15701958142
SCHOOL_414,学校,学校,其他学校,四川省交通管理学校,四川省成都市武侯区佳灵路22号,武侯区,104.020419,30.631306,33138.886103582
SCHOOL_415,学校,学校,其他学校,四川交通运输职业学校(红牌楼校区),四川省成都市武侯区佳灵路8号,武侯区,104.023905,30.637447,32987.9064955024
SCHOOL_416,学校,学校,中学,成都市第四十三中学校,四川省成都市武侯区董家湾北街10号,武侯区,104.026995,30.632532,12698.9938291455
SCHOOL_418,学校,学校,其他学校,武侯区图书馆,四川省成都市武侯区九兴大道137号,武侯区,104.031269,30.626016,7550.4053174703
SCHOOL_419,学校,学校,其他学校,成都精密光学工程研究中心,四川省成都市武侯区科园一路3号,武侯区,104.038185,30.62722,14607.2791585147
SCHOOL_421,学校,学校,中学,成都西川中学,四川省成都市武侯区广福桥街3号,武侯区,104.035822,30.634496,18577.9745986728
SCHOOL_422,学校,学校,小学,成都市龙江路小学分校(南区学校),长城西二路36号,武侯区,104.029888,30.631864,8913.7457495165
SCHOOL_423,学校,学校,中学,四川省成都西藏中学,成都市武侯区高升桥东路17号附24号,武侯区,104.039778,30.635738,24515.6351316028
SCHOOL_426,学校,学校,中学,成都西川中学-教学楼,四川省成都市武侯区广福桥街3号,武侯区,104.035823,30.634959,2971.59604953226
SCHOOL_428,学校,学校,小学,成都市高新区实验小学,四川省成都市武侯区紫薇东路71号,武侯区,104.050564,30.61192,12993.2559964506
SCHOOL_429,学校,学校,小学,成都师范银都小学(紫薇校区),四川省成都市武侯区紫瑞大道122号,武侯区,104.042823,30.613323,9727.40540030462
SCHOOL_433,学校,学校,小学,高新区芳草小学(南区),四川省成都市武侯区泰和二街180号,武侯区,104.052594,30.603555,13785.5536386069
SCHOOL_435,学校,学校,中学,成都市棕北中学,四川省成都市武侯区桐梓林南路10号,武侯区,104.056692,30.614658,11643.3842925241
SCHOOL_438,学校,学校,小学,成都市桐梓林小学,四川省成都市武侯区桐梓林中路2号,武侯区,104.058238,30.61684,6932.30319745123
SCHOOL_439,学校,学校,大学/高等院校,中国电子科技集团公司第三十研究所,四川省成都市武侯区创业路6号,武侯区,104.040774,30.625883,70438.7585089306
SCHOOL_440,学校,学校,中学,成都玉林中学(芳草校区),四川省成都市高新区芳草东街80号,武侯区,104.050011,30.627279,25697.1088867102
SCHOOL_441,学校,学校,小学,四川省成都高新实验小学,四川省成都市武侯区神仙树西路8号,武侯区,104.044743,30.621716,7390.97633500682
SCHOOL_442,学校,学校,中学,玉林中学(紫荆校区),四川省成都市武侯区紫荆西路27号,武侯区,104.044634,30.620626,20031.9434924848
SCHOOL_445,学校,学校,中学,成都玉林中学-附属小学,四川省成都市武侯区肖家河东四巷53号,武侯区,104.043767,30.632209,5283.551980857
SCHOOL_446,学校,学校,中学,成都玉林中学(肖家河校区),四川省成都市武侯区肖家河街玉林中学69号,武侯区,104.042453,30.632136,16686.8024632737
SCHOOL_450,学校,学校,小学,成都市玉林小学,四川省成都市武侯区玉林下横巷5号,武侯区,104.056976,30.628352,6899.32868635412
SCHOOL_451,学校,学校,小学,成都师范银都小学(紫荆校区),四川省成都市武侯区紫荆北路1号,武侯区,104.05214,30.622877,7923.2721453529
SCHOOL_454,学校,学校,中学,四川省成都市玉林中学,四川省成都市武侯区玉林东路11号,武侯区,104.057965,30.631228,12265.8906122892
